Rk,Player,Tm,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
77,Jaret Patterson,WAS,22,RB,17,1,68,266,2,15,50.0,13,3.9,15.6,1,PattJa01
78,Derrick Gore,KAN,27,RB,11,0,51,256,2,12,60.8,51,5.0,23.3,0,GoreDe00
79,Kenyan Drake,LVR,27,RB,12,2,63,254,2,15,44.4,21,4.0,21.2,1,DrakKe00
80,Carlos Hyde,JAX,31,RB,12,2,72,253,1,14,50.0,18,3.5,21.1,2,HydeCa00
81,Phillip Lindsay,2TM,27,RB,14,1,88,249,1,11,37.5,35,2.8,17.8,0,LindPh00
82,Samaje Perine,CIN,26,RB,16,0,55,246,1,11,41.8,46,4.5,15.4,0,PeriSa00
83,Ty Johnson,NYJ,24,RB,16,3,61,238,2,13,47.5,24,3.9,14.9,2,JohnTy02
84,Chris Carson,SEA,27,RB,4,4,54,232,3,11,55.6,33,4.3,58.0,1,CarsCh00
85,Craig Reynolds,DET,25,RB,5,2,55,230,0,11,43.6,35,4.2,46.0,0,ReynCr00
86,Cam Newton,CAR,32,QB,8,5,47,230,5,20,55.3,33,4.9,28.8,4,NewtCa00
87,David Johnson,HOU,30,RB,13,4,67,228,0,7,34.3,15,3.4,17.5,1,JohnDa08
88,Brandon Bolden,NWE,31,RB,17,1,44,226,1,12,43.2,24,5.1,13.3,1,BoldBr00
89,Sam Darnold,CAR,24,QB,12,11,48,222,5,20,60.4,30,4.6,18.5,9,DarnSa00
90,Carson Wentz,IND,29,QB,17,17,57,215,1,21,49.1,18,3.8,12.6,8,WentCa00
91,Peyton Barber,LVR,27,RB,10,1,55,212,2,12,47.3,27,3.9,21.2,2,BarbPe01
92,J.D. McKissic,WAS,28,WR,11,3,48,212,2,14,60.4,15,4.4,19.3,0,McKiJ.00
93,Ty'Son Williams,BAL,25,RB,13,3,35,185,1,7,45.7,35,5.3,14.2,1,WillTy01
94,Zach Wilson,NYJ,22,QB,13,13,29,185,4,10,44.8,52,6.4,14.2,5,WilsZa00
95,Russell Wilson*,SEA,33,QB,14,14,43,183,2,17,44.2,17,4.3,13.1,6,WilsRu00
96,Ke'Shawn Vaughn,TAM,24,RB,12,1,36,180,2,9,50.0,55,5.0,15.0,0,VaugKe00
97,Travis Homer,SEA,23,RB,14,0,21,177,1,7,57.1,73,8.4,12.6,0,HomeTr00
98,Royce Freeman,2TM,25,RB,15,0,56,169,0,8,44.6,13,3.0,11.3,0,FreeRo00
99,Trey Lance,SFO,21,QB,6,2,38,168,1,8,42.1,15,4.4,28.0,0,LancTr00
100,Trey Sermon,SFO,22,RB,9,2,41,167,1,9,56.1,16,4.1,18.6,0,SermTr00
101,Ameer Abdullah,2TM,28,RB,17,1,51,166,0,8,45.1,15,3.3,9.8,0,AbduAm00
102,Jameis Winston,NOR,27,QB,7,7,32,166,1,17,56.3,20,5.2,23.7,2,WinsJa00
103,Damien Williams,CHI,29,RB,12,2,40,164,2,11,52.5,23,4.1,13.7,0,WillDa05
104,Jeremy McNichols,TEN,26,RB,14,0,41,156,0,6,41.5,14,3.8,11.1,0,McNiJe00
105,Tyrod Taylor,HOU,32,QB,6,6,19,151,3,6,52.6,30,7.9,25.2,3,TaylTy00
106,Salvon Ahmed,MIA,23,RB,12,0,54,149,0,8,29.6,16,2.8,12.4,0,AhmeSa01
107,Dak Prescott,DAL,28,QB,16,16,48,146,1,7,27.1,21,3.0,9.1,14,PresDa01
108,Tony Jones,NOR,24,RB,11,4,54,142,0,7,37.0,11,2.6,12.9,0,JoneTo04
109,Corey Clement,DAL,27,RB,17,0,33,140,0,7,42.4,38,4.2,8.2,0,ClemCo00
110,DeeJay Dallas,SEA,23,RB,17,0,33,138,2,10,57.6,15,4.2,8.1,1,DallDe00
111,Dare Ogunbowale,JAX,27,RB,17,2,43,137,1,5,37.2,12,3.2,8.1,0,OgunDa00
112,Baker Mayfield,CLE,26,QB,14,14,37,134,1,12,48.6,14,3.6,9.6,6,MayfBa00
113,Mac Jones*,NWE,23,QB,17,17,44,129,0,22,52.3,13,2.9,7.6,7,JoneMa05
114,Tua Tagovailoa,MIA,23,QB,13,12,42,128,3,13,40.5,23,3.0,9.8,9,TagoTu00
115,Malcolm Brown,MIA,28,RB,7,3,33,125,1,6,51.5,24,3.8,17.9,0,BrowMa03
116,Matt Breida,BUF,26,RB,9,0,26,125,1,5,65.4,28,4.8,13.9,1,BreiMa00
117,Kendrick Bourne,NWE,26,WR,17,5,12,125,0,7,83.3,18,10.4,7.4,1,BourKe00
118,Joe Burrow,CIN,25,QB,16,16,40,118,2,14,40.0,12,3.0,7.4,5,BurrJo01
