Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
92,Justin Jackson,DET,26,RB,16,0,42,170,1,8,45.2,27,4.0,10.6,0,JackJu01
93,Dare Ogunbowale,HOU,28,RB,17,4,42,123,1,10,42.9,11,2.9,7.2,0,OgunDa00
94,Deebo Samuel,SFO,26,WR,13,12,42,232,3,8,40.5,51,5.5,17.8,3,SamuDe00
95,Royce Freeman,HOU,26,RB,4,1,41,117,0,7,39.0,11,2.9,29.3,1,FreeRo00
96,Malik Davis,DAL,24,RB,12,0,38,161,1,6,39.5,23,4.2,13.4,0,DaviMa02
97,Curtis Samuel,WAS,26,WR,17,12,38,187,1,11,44.7,21,4.9,11.0,1,SamuCu00
98,Jonathan Williams,WAS,28,RB,13,2,37,152,0,6,43.2,23,4.1,11.7,0,WillJo07
99,Sony Michel,LAC,27,RB,10,0,36,106,0,8,47.2,12,2.9,10.6,0,MichSo00
100,Deshaun Watson,CLE,27,QB,6,6,36,175,1,10,47.2,21,4.9,29.2,1,WatsDe00
101,DeeJay Dallas,SEA,24,RB,15,0,35,186,0,9,54.3,27,5.3,12.4,1,DallDe00
102,Kyren Williams,LAR,22,RB,10,0,35,139,0,6,42.9,17,4.0,13.9,0,WillKy02
103,Tyrion Davis-Price,SFO,22,RB,6,0,34,99,0,5,32.4,20,2.9,16.5,0,DaviTy03
104,Aaron Rodgers,GNB,39,QB,17,17,34,94,1,9,32.4,18,2.8,5.5,8,RodgAa00
105,Ryan Tannehill,TEN,34,QB,12,12,34,98,2,12,44.1,17,2.9,8.2,3,TannRy00
106,Davis Mills,HOU,24,QB,15,15,32,108,2,8,28.1,17,3.4,7.2,8,MillDa02
107,Gary Brightwell,NYG,23,RB,17,0,31,141,1,9,41.9,25,4.5,8.3,0,BrigGa00
108,Kirk Cousins*,MIN,34,QB,17,17,31,97,2,11,38.7,19,3.1,5.7,7,CousKi00
109,Baker Mayfield,2TM,27,,12,10,31,89,1,7,29.0,17,2.9,7.4,9,MayfBa00
110,Andy Dalton,NOR,35,QB,14,14,30,54,0,6,33.3,14,1.8,3.9,5,DaltAn00
111,Ty Johnson,NYJ,25,RB,17,1,30,160,1,5,36.7,32,5.3,9.4,0,JohnTy02
112,Tom Brady,TAM,45,QB,17,17,29,-1,1,5,17.2,2,0.0,-0.1,5,BradTo00
113,Jared Goff*,DET,28,QB,17,17,29,73,0,5,24.1,14,2.5,4.3,7,GoffJa00
114,Taylor Heinicke,WAS,29,QB,9,9,28,96,1,6,46.4,15,3.4,10.7,7,HeinTa00
115,Zach Wilson,NYJ,23,QB,9,9,28,102,1,7,42.9,18,3.6,11.3,1,WilsZa00
116,Keaontay Ingram,ARI,23,RB,12,0,27,60,1,4,25.9,13,2.2,5.0,0,IngrKe01
117,Matt Ryan,IND,37,QB,12,12,27,70,1,9,37.0,39,2.6,5.8,15,RyanMa00
118,Malik Willis,TEN,23,QB,8,3,27,123,1,8,44.4,17,4.6,15.4,3,WillMa12
119,Rex Burkhead,HOU,32,RB,16,0,26,80,0,4,53.8,9,3.1,5.0,0,BurkRe00
120,Sam Darnold,CAR,25,QB,6,6,26,106,2,10,38.5,26,4.1,17.7,6,DarnSa00
